name,component,total
xmit_bytes,switch21:port2,0
xmit_bytes,switch21:port3,0
xmit_bytes,switch21:port4,0
xmit_bytes,switch21:port5,0
xmit_bytes,switch21:port6,0
xmit_bytes,switch21:port7,0
xmit_bytes,switch22:port0,0
xmit_bytes,switch22:port1,0
xmit_bytes,switch22:port2,0
xmit_bytes,switch22:port3,0
xmit_bytes,switch22:port4,0
xmit_bytes,switch22:port5,0
xmit_bytes,switch22:port6,0
xmit_bytes,switch22:port7,0
xmit_bytes,switch23:port0,0
xmit_bytes,switch23:port1,0
xmit_bytes,switch23:port2,0
xmit_bytes,switch23:port3,0
xmit_bytes,switch23:port4,0
xmit_bytes,switch23:port5,0
xmit_bytes,switch23:port6,0
xmit_bytes,switch23:port7,0
xmit_bytes,switch24:port0,0
xmit_bytes,switch24:port1,0
xmit_bytes,switch24:port2,0
xmit_bytes,switch24:port3,0
xmit_bytes,switch24:port4,0
xmit_bytes,switch24:port5,0
xmit_bytes,switch24:port6,0
xmit_bytes,switch24:port7,0
xmit_bytes,switch25:port0,0
xmit_bytes,switch25:port1,0
xmit_bytes,switch25:port2,0
xmit_bytes,switch25:port3,0
xmit_bytes,switch25:port4,0
xmit_bytes,switch25:port5,0
xmit_bytes,switch25:port6,0
xmit_bytes,switch25:port7,0
xmit_bytes,switch26:port0,0
xmit_bytes,switch26:port1,0
xmit_bytes,switch26:port2,0
xmit_bytes,switch26:port3,0
xmit_bytes,switch26:port4,0
xmit_bytes,switch26:port5,0
xmit_bytes,switch26:port6,0
xmit_bytes,switch26:port7,0
xmit_bytes,switch27:port0,0
xmit_bytes,switch27:port1,0
xmit_bytes,switch27:port2,0
xmit_bytes,switch27:port3,0
xmit_bytes,switch27:port4,0
xmit_bytes,switch27:port5,0
xmit_bytes,switch27:port6,0
xmit_bytes,switch27:port7,0
xmit_bytes,switch28:port0,0
xmit_bytes,switch28:port1,0
xmit_bytes,switch28:port2,0
xmit_bytes,switch28:port3,0
xmit_bytes,switch28:port4,0
xmit_bytes,switch28:port5,0
xmit_bytes,switch28:port6,0
xmit_bytes,switch28:port7,0
xmit_bytes,switch29:port0,0
xmit_bytes,switch29:port1,0
xmit_bytes,switch29:port2,0
xmit_bytes,switch29:port3,0
xmit_bytes,switch29:port4,0
xmit_bytes,switch29:port5,0
xmit_bytes,switch29:port6,0
xmit_bytes,switch29:port7,0
xmit_bytes,switch30:port0,0
xmit_bytes,switch30:port1,0
xmit_bytes,switch30:port2,0
xmit_bytes,switch30:port3,0
xmit_bytes,switch30:port4,0
xmit_bytes,switch30:port5,0
xmit_bytes,switch30:port6,0
xmit_bytes,switch30:port7,0
xmit_bytes,switch31:port0,0
xmit_bytes,switch31:port1,0
